epoch,train_loss,train_mse,train_rmse,train_r2,val_loss,val_mse,val_rmse,val_r2,verif_loss,verif_mse,verif_rmse,verif_r2
1,0.986325909634076,1160.410246347041,34.06479482320481,0.013674087574607863,0.9877858855668906,1162.1279074245526,34.08999717548467,0.014462922907510167,0.9659823141725679,1136.4760504487297,33.711660452263835,0.013762643392942087
2,0.9478287895374731,1115.1184651801227,33.393389543143456,0.05217121178172357,0.9497770184967614,1117.4105525441435,33.42769140314873,0.052385264280253696,0.9266578770078346,1090.2109338061969,33.01834238428993,0.05391165165636558
3,0.9072120508974006,1067.3329649314771,32.67006221193154,0.09278794821766967,0.9096501578906039,1070.2013926332409,32.71393269897768,0.09242076912729968,0.8857479719192055,1042.0805241560374,32.28127203435511,0.09567936683790912
4,0.8592951388557146,1010.9588225532455,31.7955786636011,0.14070486173463226,0.8622657124293798,1014.4536937529175,31.85048969408347,0.1396973415752537,0.8378340342365388,985.7098802353985,31.396016948578023,0.14459798226194498
5,0.7999346515466282,941.1213446312572,30.677701097560377,0.20006534596832004,0.8033931815117384,945.1902938351452,30.74394727153859,0.1984358403827794,0.7786555321595392,916.0865066421494,30.266920997057984,0.20501735661088938
6,0.7283283788203575,856.876721646057,29.272456706707366,0.2716716204685543,0.7322267879999554,861.463190970081,29.350693194030033,0.2694402140871557,0.7073652931155523,832.2136970553546,28.84811427208639,0.2778024346470054
7,0.6484723603166221,762.9262909692991,27.621120378603383,0.3515276408300796,0.6530203121731623,768.2769470634287,27.71780920389324,0.3484663676269305,0.6281216549786757,738.9837308101831,27.184255200578573,0.3587076815546709
8,0.5681173295304219,668.3887781271887,25.853216011304838,0.4318826694985659,0.5733896174494967,674.5916148713661,25.9729015489484,0.4279157706273472,0.548672907579257,645.5124591248497,25.406937224404867,0.4398223340537226
9,0.501139971179337,589.5900667700569,24.281475794729957,0.49886002610320956,0.5072551659639999,596.7845791917939,24.42917475462063,0.49389965934645963,0.4828967533537664,568.126960835451,23.835414005958675,0.5069777037093541
10,0.45589375604075333,536.3579948731596,23.159404026726584,0.5441062414389357,0.4630548439771822,544.7829982746343,23.340586930808623,0.5379993541682306,0.43884942019271816,516.3053713117845,22.722354000230357,0.5519486359580514
11,0.42967553961284677,505.51232156127946,22.483601169769923,0.5703244577719007,0.4379194487846051,515.2112613503106,22.69826560225055,0.5630775258451621,0.4133701092925489,486.3290196263574,22.05286873915404,0.5779622046868301
12,0.41418643449584847,487.28942351853874,22.07463303247732,0.5858135631082437,0.4234270153660891,498.1609459680531,22.319519393751584,0.5775369651874068,0.3981253338011221,468.3935754047339,21.642402255866465,0.5935266374715977
13,0.40230560902078355,473.31165990241306,21.755727059843647,0.5976943875802283,0.412479201822989,485.2808689840712,22.029091424388596,0.5884598535738075,0.3860164549880191,454.14750509245704,21.31073685005887,0.6058894204103764
14,0.39257403254660694,461.8624806392623,21.490986032270886,0.6074259650277716,0.40344272517797797,474.64947432896105,21.786451623175378,0.5974757575434781,0.37611939849848647,442.50364185795894,21.03577053159591,0.6159940001703734
15,0.38394537621265706,451.7108856694129,21.25349114073763,0.6160546213178465,0.3954249377759287,465.21656447111144,21.56887953675646,0.6054752921475343,0.3671762569679442,431.98205485271245,20.78417799319262,0.62512466522158
16,0.3758746055290288,442.21564244018356,21.028923948699408,0.624125391522826,0.387907291854944,456.3720728541335,21.362866681560636,0.6129758214445913,0.35888429233982805,422.22657815139104,20.548152670042896,0.633590497432082
17,0.3679064507109801,432.84112517378435,20.80483417799297,0.6320935470311354,0.38049085843578684,447.6466532611234,21.1576618098769,0.6203753722747214,0.3506782082079317,412.57213634617165,20.311871808038067,0.6419686512539216
18,0.36077067860631634,424.44590528803036,20.602084974293994,0.6392293190047929,0.37381135537211746,439.7882316988558,20.971128527069204,0.6270396695242396,0.3432474590473241,403.8298761712706,20.0955188082137,0.6495552110958657
19,0.3541458475753831,416.65180733795364,20.412050542215344,0.6458541491425329,0.3675957262354663,432.47556070611734,20.796046756682323,0.6332411455836986,0.33646909845964396,395.8551517233946,19.89610895937682,0.6564757011106244
20,0.3480107739934524,409.4339055705694,20.23447319725842,0.6519892238447111,0.3618338432476134,425.6967158745281,20.632419050478013,0.6389899128912436,0.32997292340119333,388.2124146351172,19.70310672546635,0.6631080914898226
21,0.3421208552503728,402.50442824747233,20.062513009278582,0.65787914343552,0.35635222235616965,419.2475995062125,20.47553661094655,0.6444590555345389,0.3239642922026155,381.1432723293962,19.522890982879463,0.6692427145804902
22,0.3366273181653552,396.04129560421865,19.900786306179427,0.6633726792100887,0.35126899709259546,413.26719575424244,20.32897429174041,0.6495307086597196,0.31832078901270294,374.50370326311105,19.352098161778507,0.6750045527136894
23,0.33183245291516283,390.40014749767977,19.758546188869254,0.6681675442768391,0.3468058761362859,408.01634648282806,20.199414508416528,0.6539836665571608,0.3133916651083154,368.70460164971695,19.20168226093008,0.6800370306472379
24,0.32698197597866047,384.69357091539973,19.613606779870953,0.6730180222625871,0.34237294436762844,402.8010110697775,20.069903115605154,0.658406507094934,0.3086583162386091,363.1358260256665,19.056123058630433,0.6848696309900544
25,0.3231322665958303,380.1643953813103,19.49780488622528,0.6768677324881374,0.3387268318758835,398.51136683471015,19.96274948083831,0.662044319606092,0.30444436789772295,358.1781239820696,18.925594415554553,0.6891719398300795
26,0.3188955850947394,375.17995034552035,19.369562471711134,0.681104412846085,0.3348496632286588,393.94988560126257,19.848170837668206,0.6659126621984206,0.30040173215907034,353.42197368835014,18.799520570704725,0.693299341451479
27,0.3153374338360003,370.99379387165664,19.2611991805198,0.6846625636092629,0.33149756366839245,390.0061524799552,19.74857342898355,0.669257126425099,0.2965927502834743,348.9407156308973,18.679954915119502,0.6971881907581682
28,0.31181056484935743,366.844438686864,19.153183513109877,0.6881894339997141,0.3282468516968159,386.1816935484451,19.651506139439924,0.6725004407390749,0.29319664905028536,344.94520767131286,18.57270060253255,0.7006555046595981
29,0.3082131679881424,362.61210893136604,19.042376661839405,0.6917868311451787,0.32496383118979827,382.31922602204213,19.552985092359737,0.6757759880622365,0.2895768127716861,340.6864792655353,18.45769431065363,0.7043512420609829
30,0.3052560261648755,359.13303757749367,18.950805723701926,0.6947439734474838,0.3221930146827546,379.05936781025906,19.46944703401355,0.6785404954054053,0.2864623491648171,337.02232187307163,18.358167715572044,0.707531008937292
31,0.3024580096046609,355.84117812450086,18.863753023311688,0.6975419893119338,0.3196053177791001,376.01494986810326,19.391104916123354,0.6811222996465662,0.28371493007265247,333.78998674828455,18.269920272083414,0.7103360391426179
32,0.30019196982180196,353.17518626127713,18.792955761701702,0.699808030020632,0.31741520636988263,373.4382861495801,19.32455138288028,0.6833074271300212,0.2813150800270002,330.9665677957802,18.192486575390955,0.7127862106558783
33,0.2971627781073512,349.6113502678271,18.697896947727227,0.7028372206013249,0.3146209533843094,370.15085521560246,19.23930495666625,0.6860953173898774,0.2784481851016859,327.59367334060505,18.099548981690262,0.7157132186735775
34,0.29490460986872324,346.9546191088897,18.626717883429965,0.7050953898933119,0.31243865531414317,367.5833864374637,19.17246427659897,0.6882726471476153,0.27624841540577505,325.0056489602161,18.027913050606166,0.7179591140646344
35,0.29293690772888326,344.6396235995238,18.564472079742096,0.7070630905967691,0.310478493667586,365.2772604606967,19.11222803497009,0.6902283463783365,0.2741846311012069,322.57761069093175,17.960445726399215,0.7200661730242089
36,0.2907911682929951,342.11516628379513,18.49635548652207,0.7092088297206292,0.30841468519175985,362.8491951952672,19.048600872380817,0.692287455646252,0.2721279830078022,320.1579713580269,17.892958708889562,0.7221659433613703
37,0.28877247845790666,339.7401817810308,18.432042257466502,0.7112275198899546,0.30645038647300427,360.53819992965407,18.987843477595188,0.6942472842543563,0.2700338226741824,317.6941955347986,17.82397810632628,0.7243040154784322
38,0.2870387797332555,337.70048864409625,18.37662887050006,0.7129612189853287,0.3046789702471747,358.4541331220515,18.93288496563721,0.6960146672566129,0.2683221795365365,315.68045079046607,17.767398537503066,0.7260515492630181
39,0.2852122293727491,335.55155701214096,18.31806641029945,0.7147877686554134,0.30288525545910333,356.3438309174963,18.877071566254557,0.6978042990632083,0.2664574152786064,313.48655895654764,17.705551642254687,0.7279554152372383
40,0.28305073001534303,333.00855671245597,18.248522041865638,0.7169492689513481,0.30082450614115175,353.91936404593247,18.812744723881533,0.6998603567302201,0.26453077300084643,311.21986890319596,17.641424797991686,0.7299224557266374
41,0.28210572304091963,331.89675876292546,18.218033888510732,0.7178942753664979,0.29975770469934165,352.664275468575,18.77935769584719,0.7009247286639104,0.2633688261389149,309.8528417396274,17.602637351818263,0.7311087660370708
42,0.28018345076256945,329.63520894929945,18.15585880506068,0.7198165482785496,0.2978636805281657,350.4359588670703,18.719934798686406,0.7028144420218405,0.2617764831608771,307.97945393300114,17.54934340461207,0.7327344976462653
43,0.2784389397021769,327.5827949722143,18.099248464293048,0.721561059838143,0.29616726165719404,348.44012686982546,18.66655101698826,0.7045069979103671,0.2600671291122423,305.9684015938203,17.491952480893044,0.7344796949535107
44,0.27690565638529474,325.7788893311027,18.0493459530007,0.7230943441942574,0.2946619122622332,346.66908615047555,18.619051698474752,0.7060089206185378,0.25857166841366613,304.2089934966483,17.44158804400128,0.7360065146258328
45,0.27559254721852183,324.2340199901111,18.006499381892947,0.7244074527841964,0.29329098794770275,345.05619569690094,18.575688296720017,0.7073767247415874,0.2572839914066822,302.6940461079999,17.39810466999207,0.7373211905553338
46,0.2739167976804196,322.2625046903187,17.95167136202974,0.7260832020573951,0.2917259204353037,343.2148964774202,18.526059928582228,0.7089382298385962,0.2557432787258967,300.8814005170916,17.34593325586985,0.7388942098858662
47,0.2731168848714257,321.3214099677607,17.92544030052709,0.7268831140831875,0.2908326568277803,342.1639754430966,18.497674865860752,0.7098294584527662,0.25474812649934264,299.7106061940035,17.31215198044436,0.7399102287433484
48,0.2715306973659764,319.45526262110155,17.87331146209626,0.7284693026662408,0.28925628295012695,340.3093740398336,18.44747608860989,0.7114022444038361,0.25345869658267894,298.1935942273982,17.26828289747994,0.7412266963198498
49,0.2711423873211446,318.99841762902037,17.860526801553764,0.7288576119345103,0.2886829084936292,339.63480139710475,18.429183416448616,0.711974312543973,0.2528653972598294,297.49557956101347,17.24806016805987,0.7418324355601764
50,0.26954213580619324,317.11572518412106,17.807743405162853,0.7304578635260293,0.28704547534569613,337.7083647290567,18.376843165491092,0.7136080180516906,0.2515202877192244,295.9130620162757,17.20212376470637,0.7432057490756616
51,0.2685153819408074,315.90775284894625,17.773793991406176,0.7314846162795718,0.2859757428456751,336.44982774563516,18.34256873356715,0.7146753143898388,0.2505026719788677,294.71583953312444,17.167289813279336,0.7442447023704428
52,0.267080789034838,314.21995680363614,17.726250500419884,0.732919209760299,0.28459435113600007,334.82462099219066,18.29821360111939,0.7160535632927589,0.2492030019184994,293.18677828701163,17.12269775143542,0.7455716263481731
53,0.2662789724102894,313.2766212945066,17.699622066431434,0.7337210264106557,0.2837260655621289,333.80308593216574,18.270278759016396,0.7169198712703684,0.24842218056130178,292.26814423939993,17.095851667565437,0.7463688197553268
54,0.26499511692360794,311.76616844714755,17.65690143958298,0.7350048816571402,0.28244429366612067,332.2950843724789,18.228962789266944,0.7181987248628944,0.24722935383225056,290.8647870724491,17.054758487661122,0.7475866573526635
55,0.26409352101958833,310.7054434474763,17.62683872529264,0.7359064770682688,0.2815108963081341,331.19694663000325,18.198817176673963,0.7191299953831617,0.24639718907768043,289.8857451932897,17.026031398810755,0.7484362728588843
56,0.26311373122848136,309.55272247891094,17.594110448639082,0.7368862672456402,0.28048126634435266,329.98558817960213,18.16550544795278,0.7201572821894525,0.24550341888955615,288.8342285623092,16.995123670109294,0.7493487821741109
57,0.26223250633936873,308.5159628370359,17.564622479206204,0.7377674925734563,0.27959360133666,328.94125082906703,18.13673760159382,0.7210429275417147,0.24462523214724913,287.8010427017326,16.964699900137717,0.7502453839912954
58,0.26113647292996356,307.22648294164674,17.527877308494794,0.7388635251519152,0.2785166968010219,327.674277545778,18.101775535725164,0.722117378244077,0.2436678297345608,286.6746629043391,16.931469602616872,0.7512228597889405
59,0.26020480989878375,306.13038212545933,17.496582012652052,0.7397951893121031,0.2775388136371277,326.5237992342924,18.06996954159836,0.7230930359364153,0.24281932347221458,285.67639546574173,16.901964248741674,0.7520891592938358
60,0.2597920596369685,305.6447840270222,17.482699563483386,0.7402079381559028,0.2770011412498255,325.89123098774496,18.05245775476971,0.7236294824469767,0.24232046066807145,285.0894849385819,16.88459312327608,0.7525984820258392
61,0.258491093768186,304.1141990328304,17.438870348529758,0.7415089053316866,0.27572344965187884,324.38802779782503,18.010775324727835,0.7249042668047097,0.24121822780656954,283.7927097154265,16.846148215999598,0.7537238274897347
62,0.2578387867491661,303.3467599152583,17.41685275574374,0.7421612135048117,0.275045730625902,323.590691234672,17.98862671897641,0.7255804443071072,0.24055787078972415,283.0158000151931,16.823073441413527,0.7543980320792445
63,0.2571547679705882,302.54201611585995,17.393734967391563,0.7428452299246158,0.27427701601898696,322.6863004098986,17.963471279513282,0.7263474086698956,0.23996383752231942,282.31692281106086,16.80228921340961,0.7550045198324393
64,0.25657612017778286,301.8612357710618,17.374154246208988,0.7434238798433477,0.2736446434499519,321.9423151601809,17.942751047712303,0.7269783418431912,0.23938609958594764,281.63721455733327,16.782050368096662,0.75559437271245
65,0.25543543122478624,300.5192181531368,17.335490133051813,0.7445645684538262,0.27248852399552875,320.5821436006333,17.904807834786535,0.7281318289030723,0.23840625353680545,280.48442894602084,16.747669358630795,0.7565947635553424
66,0.25475549943826103,299.71928121904784,17.312402525907483,0.7452444991325512,0.27181385457966595,319.7884003015915,17.882628450582747,0.72880495915483,0.23772197584363072,279.6793778315688,16.72361736681298,0.7572933893492931
67,0.25420233370817136,299.06848212002456,17.293596564047185,0.7457976655813743,0.2711543510133114,319.0124942173093,17.86092086700205,0.7294629626409491,0.2372533601752076,279.1280520478752,16.707125786558116,0.7577718315332042
68,0.2534876927425262,298.2277078542275,17.269270623110504,0.7465123071897768,0.2703350134768791,318.04854234112383,17.83391550784975,0.7302804374717696,0.2366540241002877,278.42293318925687,16.686010103954057,0.758383735813055
69,0.25285981911053956,297.4890174169971,17.24786993854595,0.7471401795493968,0.2697222828218716,317.32766900388117,17.813693300488847,0.730891770696969,0.2360391394615471,277.6995256238529,16.66431893669384,0.7590115110880129
70,0.25192824205036257,296.3930197703639,17.216068650257057,0.7480717560174903,0.26876870251216434,316.20578286936154,17.782175988032556,0.7318431809288215,0.2353014298220797,276.831612858401,16.63825750667422,0.7597646884129788
71,0.2516965696870562,296.1204570579632,17.208150890143983,0.7483034289683697,0.2684691935999635,315.85340962310653,17.772265179855562,0.732142009394209,0.23501810082658534,276.4982758065573,16.628237303050412,0.7600539593155551
72,0.25092651064453136,295.2144848781851,17.181806799000654,0.749073487522803,0.2676519225974346,314.89189448449685,17.745193560074142,0.7329574177612499,0.2343689277375593,275.7345237702536,16.60525590800255,0.7607167456444794
73,0.249838488929166,293.9344289283322,17.14451600157707,0.7501615099326953,0.26654095790266047,313.58484567497976,17.708327015135556,0.7340658543241436,0.2335375938829999,274.75646202888413,16.575779379229324,0.7615655105841592
74,0.24967203883393543,293.7386010311752,17.13880395567833,0.7503279597981198,0.2663188946646883,313.3235887231792,17.70094880855767,0.7342874120468372,0.2332269036292497,274.39093437839483,16.564749752966232,0.7618827165856786
75,0.24868041336761787,292.57195612779435,17.104734903756746,0.7513195850465403,0.2652765627641668,312.09728911370405,17.666275473729716,0.7353273696324356,0.23251151237185264,273.54928063715425,16.539325277566622,0.7626131062499498
76,0.24815195119868816,291.95022208973984,17.0865509126254,0.7518480467645409,0.26470224191141933,311.4215999881035,17.647141411234383,0.7359003846005929,0.2320134078913417,272.96326086926666,16.52159982777899,0.7631216559783605
77,0.24771749184515604,291.4390806392859,17.071586939686828,0.75228250695574,0.264227448345449,310.86300874519395,17.631307630042475,0.7363740952629989,0.23157981744246575,272.4531405198637,16.506154625468152,0.7635643399616684
78,0.2471606535226662,290.7839612735542,17.052388726320842,0.752839345546391,0.26365068476358167,310.1844455235402,17.612053983665284,0.7369495475947248,0.23107402413475223,271.8580791304538,16.488119332733305,0.7640807360366044
79,0.24685983642284645,290.43004984201855,17.04200838639679,0.7531401633103896,0.2632695363371235,309.73602338205535,17.599318832899623,0.7373298298715714,0.23082449215584744,271.56450230536205,16.479214250241487,0.764335502894054
80,0.24618715129069904,289.63863809370156,17.01877310776842,0.7538128477486908,0.26251481607903887,308.8481014039922,17.574074695527848,0.7380828279067755,0.2302888168757082,270.934282909264,16.46008149764952,0.7648824091936147
81,0.24570816578076174,289.07511208425046,17.00220903542391,0.7542918337859109,0.26203188532933436,308.279933216739,17.5579023011503,0.7385646602515502,0.22983947179253725,270.40563145882913,16.444015065026825,0.7653411745224904
82,0.24490397408585618,288.1289839449039,16.974362549000297,0.755096024117089,0.26121895408645485,307.32351977981085,17.530645161539574,0.7393757421446019,0.22921906875313344,269.67572599748684,16.421806417001964,0.7659745886912122
83,0.2445696589562082,287.7356632346268,16.9627728639697,0.7554303389937984,0.26084885210423536,306.8880969416172,17.518221854446793,0.7397450004237562,0.2288800894813301,269.27692075891366,16.409659373640686,0.7663206730843996
84,0.24404149171469236,287.11427508577725,16.94444673294992,0.75595850671277,0.2603059964400594,306.24942794602174,17.499983655592988,0.7402866206457019,0.2283964361668285,268.7079012244588,16.39231225985092,0.7668144699587789
85,0.2435729574258218,286.5630455764663,16.928173131689856,0.7564270409664431,0.2597931181716498,305.64602882287863,17.482735164237848,0.7407983304190784,0.2279637871429526,268.19889050495,16.37677900275112,0.7672561910019058
86,0.24291809796756866,285.7926043641621,16.90540163273745,0.7570819008611125,0.2590965828172083,304.826555484621,17.45928278837997,0.7414932809089358,0.22740059897476245,267.53630191717787,16.356536978137452,0.7678311873839803
87,0.24301170251907814,285.9027301825842,16.90865843828493,0.7569882960789429,0.25913789184400016,304.8751536150534,17.46067448912136,0.7414520674942053,0.22742086283984908,267.56014004874885,16.35726566540841,0.7678105005812468
88,0.24189133865082224,284.5846255957782,16.869636202235608,0.7581086590827566,0.2580132075404086,303.5519674829656,17.42274282318848,0.7425741892372044,0.22657149917017236,266.5608659989129,16.32669182654321,0.7686776736264219
89,0.24190012492490953,284.594961952088,16.86994255924092,0.7580998733829573,0.2579541561222905,303.482493307072,17.42074893071684,0.7426331064835817,0.22653559714265833,266.5186287965375,16.325398273749325,0.7687143271984922
90,0.24110589853312875,283.6605558107469,16.84222538178215,0.7588941002461166,0.2570565867096391,302.42650484959063,17.39041416555657,0.7435286325020007,0.22591028863787332,265.78295353242834,16.3028510860042,0.7693527484195198
91,0.24053884505328801,282.99341889845317,16.822408237183318,0.7594611535152532,0.2565307307569597,301.8078373837281,17.37261745920079,0.7440532905212283,0.22535203191619924,265.12616747002716,16.282695337996937,0.7699227093525137
92,0.2402846456197437,282.69435417647765,16.81351700794565,0.7597153526536229,0.2562208411456522,301.4432523439534,17.36212119367773,0.7443624751403701,0.22507156536256306,264.79619749637817,16.272559647958836,0.7702090582944406
93,0.24005557358281945,282.4248513704332,16.805500628378592,0.7599444247442131,0.25595564303472984,301.13124596066285,17.353133606373888,0.7446270706784843,0.22484068515041258,264.52456845263293,16.264211276684552,0.7704447788008034
94,0.23913744058279734,281.34466976194955,16.773332100746995,0.7608625578905953,0.2549792082333789,299.98247407153525,17.320002138323634,0.7456012812474102,0.22423999489262847,263.8178561204966,16.24247075172052,0.7710580659017965
95,0.23932966250838178,281.5708191171629,16.780072083193293,0.7606703353815065,0.2551561647607765,300.1906642231698,17.326011203481595,0.7454247265736857,0.22425416810803822,263.8345325428651,16.242984102155155,0.7710435940519869
96,0.2385179093718273,280.61579310183646,16.751590763322643,0.7614820887324633,0.25431745712369513,299.2039241744251,17.297512080482125,0.7462615268064976,0.22363159267978422,263.1020752552735,16.220421549863417,0.7716792227032521
97,0.23814697483489627,280.17938978820837,16.738559967578105,0.761853022975637,0.25392168201204235,298.7382969994755,17.284047471569718,0.7466563997306249,0.22336675991730995,262.79049816584376,16.210814235128467,0.7719496102445795
98,0.23782345306241628,279.798766799024,16.727186457949944,0.762176545038872,0.2535628661958001,298.31615198286283,17.271831170517583,0.7470143978159678,0.22304372871123274,262.41045292045953,16.199088027431035,0.7722794146588925
99,0.23715437478329868,279.01159740568835,16.703640244141045,0.7628456235587828,0.25289019971440946,297.5247592937746,17.24890603179734,0.7476855346440687,0.22251823557577094,261.792211856383,16.17999418591932,0.7728159261256673
100,0.23705105191262832,278.89003925523673,16.700001175306447,0.7629489455985824,0.25273657333196037,297.3440191712569,17.243666059491435,0.7478388104503904,0.22240561432777697,261.65971283731795,16.175899135359305,0.7729309091754766
