model_name,config_id,train_mse,train_rmse,train_r2,val_mse,val_rmse,val_r2,verif_mse,verif_rmse,verif_r2,best_epoch,hidden_layers,dropout,learning_rate,batch_size,weight_decay
Neural Network,baseline,91.85828208138295,9.584272642270928,0.9219222648430037,135.28221270808527,11.631088199652055,0.8852745591572616,120.62721458114031,10.983042136909988,0.8953193380569675,92,"[128, 64, 32]",0.2,0.001,64,1e-05
Neural Network,no_dropout,58.20412967579752,7.629163104548068,0.9505276332313272,121.84980644468152,11.03855998057181,0.8966658477775404,100.46777880181651,10.023361651752197,0.9128137574473628,95,"[128, 64, 32]",0.0,0.001,64,1e-05
Neural Network,wider,74.65046647131844,8.64005014287061,0.9365485700534877,125.97540011426052,11.223876340830762,0.8931671575727773,103.77387759912972,10.18694643154315,0.9099447149037416,97,"[256, 128, 64]",0.2,0.001,64,1e-05
Neural Network,small_lr,91.64065792830239,9.572912719141566,0.9221072410977624,137.19262003107653,11.712925340455156,0.8836544472598291,115.51317252649898,10.747705454025942,0.8997573192318065,99,"[128, 64, 32]",0.2,0.0005,64,1e-05
Neural Network,small_net,98.48719200305334,9.924071342098127,0.9162878216385769,141.50283443492572,11.895496392960057,0.879999190314296,125.39746951217012,11.19810115654302,0.8911796963886165,100,"[64, 32]",0.1,0.001,32,0.0
